airport-id,airport-name,latitude,longitude
BIF,BIGGS AAF,31.8495,-106.38
BIG,DELTA JUNCTION/FT GREELY ALLEN,63.9945,-145.7216
BIH,BISHOP E. SIERRA REGNL,37.3731,-118.3636
BII,  Bikini Atoll,11.5225,165.565
BIK,Biak                                    ,-1.1919,136.11
BIL,Billings,45.8077,-108.5429
BIM,Bimini International Apt,25.6999,-79.2647
BIO,Bilbao,43.3011,-2.9106
BIQ,Biarritz,43.4683,-1.5311
BIR,Biratnagar                              ,26.484,87.2643
BIS,Bismarck,46.774,-100.7467
BIV,BRIA,6.5267,21.99
BIX,KEESLER AFB/BILOXI,30.4113,-88.9236
BIY,BHISHO,-32.895,27.285
BJA,Bejaia                                  ,36.7119,5.0694
BJB,Bojnurd                                 ,37.4892,57.3064
BJC,DENVER JEFFCO,39.9083,-105.1167
BJF,Batsfjord,70.6003,29.6925
BJI,Bemidji,47.5094,-94.9337
BJL,Banjul                                  ,13.3425,-16.6578
BJM,Bujumbura                               ,-3.3178,29.3172
BJR,Bahar Dar,11.6063,37.3197
BJT,Bentota River,6.4833,79.9833
BJV,Bodrum Milas Airport                    ,37.2472,27.6814
BJX,Leon/Guanajuato                         ,20.9933,-101.481
BJY,BEOGRAD/BATAJNICA,44.9236,20.279
BJZ,Badajoz,38.8912,-6.8213
BKA,Moscow Bykovo Apt,55.6172,38.06
BKC,Buckland                                ,65.9816,-161.1491
BKE,BAKER CITY MUNI,44.8373,-117.8091
BKF,AURORA/BUCKLEY AFB,39.7017,-104.7517
BKG,Branson                                 ,36.5321,-93.2005
BKI,Kota Kinabalu                           ,5.9447,116.0531
BKK,Bangkok Suvarnabhumi International Apt,13.6811,100.7473
BKL,CLEVELAND BURKE,41.525,-81.6833
BKM,Bakalalan,3.974,115.618
BKO,Bamako                                  ,12.5379,-7.9433
BKQ,Blackall,-24.4267,145.4233
BKS,Bengkulu                                ,-3.8611,102.3394
BKW,Beckley,37.7867,-81.1244
BKY,  Bukavu,-2.309,28.8088
BKZ,  Bukoba,-1.3,31.8
BLA,Barcelona,10.1167,-64.6833
BLB,BALBOA/HOWARD AFB,8.9148,-79.5996
BLD,Las Vegas Boulder City Airport,35.9475,-114.8611
BLE,Borlange/Falun,60.4222,15.515
BLF,BLUEFIELD,37.2958,-81.2077
BLH,BLYTHE,33.6192,-114.7168
BLI,Bellingham,48.7927,-122.5375
BLJ,Batna                                   ,35.7592,6.3225
BLK,Blackpool                               ,53.7716,-3.0286
BLL,Billund,55.7403,9.1518
BLQ,Bologna                                 ,44.5306,11.2969
BLR,Bengaluru                               ,12.9522,77.6646
BLT,BLACKWATER,-23.6,148.8167
BLV,Belleville                              ,38.5452,-89.8352
BLZ,Blantyre                                ,-15.6798,34.9676
BMA,Stockholm Bromma Apt,59.3544,17.9422
BMC,BRIGHAM CITY,41.5524,-112.0622
BMD,Belo Tsiribihina,-19.6867,44.5419
BME,Broome,-17.95,122.2317
BMI,Bloomington-Normal,40.4767,-88.9167
BMK,  Borkum,53.5955,6.7092
BMO,Bhamo,24.269,97.2462
BMU,Bima,-8.5408,118.6906
BMV,Ban Me Thuot,12.6661,108.1145
BMW,Bordj Mokhtar                           ,21.375,0.9239
BMY,Belep Island,-19.7206,163.6611
BNA,Nashville                               ,36.1245,-86.6782
BNC,  Beni,0.575,29.4739
BND,Bandar Abbas,27.2186,56.3778
BNE,Brisbane,-27.3858,153.1183
BNI,Benin City                              ,6.2331,5.5992
BNJ,Bonn Stn. (DE),50.7319,7.0967
BNK,Ballina                                 ,-28.8333,153.5617
BNN,Bronnoysund                             ,65.4611,12.2175
BNO,BURNS,43.5919,-118.9554
BNP,BANNU,32.9667,70.5333
BNS,Barinas                                 ,8.6167,-70.2167
BNX,Banja Luka,44.9417,17.3033
BNY,Bellona,-11.3022,159.7981
BOA,  Boma,-5.854,13.064
BOB,Bora Bora                               ,-16.4436,-151.7525
BOC,Bocas Del Toro                          ,9.3408,-82.2508
BOD,Bordeaux Merignac Apt,44.8286,-0.7153
BOG,Bogota                                  ,4.7031,-74.1383
BOH,Bournemouth                             ,50.78,-1.8425
BOI,Boise                                   ,43.5644,-116.2228
BOJ,Burgas                                  ,42.5703,27.5153
BOM,Mumbai                                  ,19.0908,72.8667
BON,Bonaire,12.1311,-68.2769
BOO,Bodo,67.2692,14.3653
BOP,BOUAR,5.9667,15.6333
BOS,Boston Logan International Apt,42.3643,-71.0052
BOT,  Boset,-7.233,141.083
BOU,BOURGES,47.0644,2.3789
BOX,BORROLOOLA,-16.0753,136.3022
BOY,Bobo Dioulasso                          ,11.1675,-4.3211
BPE,BAGAN,21.1812,94.9287
BPF,  Batuna,-8.583,158.117
BPG,BARRO DO GARCAS,-15.8603,-52.3889
BPH,BISLIG,8.1885,126.327
BPI,BIG PINEY,42.5851,-110.1112
BPL,Bole                                    ,44.9038,82.0708
BPM,Hyderabad Begumpet Airport              ,34.9463,69.265
BPN,Balikpapan,-1.2672,116.8939
BPS,Porto Seguro,-16.4381,-39.0733
BPT,Beaumont Jefferson County Apt,29.9508,-94.0207
BPX,Qamdo/Changdu,30.5536,97.1083
BPY,  Besalampy,-16.7419,44.4814
BQA,BALER,15.7331,121.5022
BQB,Busselton,-33.6867,115.4
BQH,BIGGIN HILL,51.3308,0.0325
BQK,Brunswick Glynco Jetport,31.2588,-81.4665
BQL,Boulia                                  ,-22.9133,139.9
BQN,Aguadilla,18.4948,-67.1295
BQQ,BARRA BONITA/FAZ SANTA LUIZA,-22.4831,-48.5239
BQS,Blagoveschensk,50.425,127.4117
BQT,Brest,52.1083,23.8981
BRA,Barreiras                               ,-12.0794,-45.0094
BRB,BARREIRINHA,-2.7958,-57.0556
BRC,San Carlos de Bariloche,-41.1511,-71.1578
BRD,Brainerd,46.3983,-94.1381
BRE,Bremen                                  ,53.0474,8.7867
BRI,Bari,41.1392,16.7658
BRK,BOURKE,-30.0403,145.9528
BRL,Burlington,40.7832,-91.1255
BRM,Barquisimeto,10.0456,-69.3564
BRN,Berne Belp,46.9122,7.4992
BRO,Brownsville,25.9068,-97.4259
BRQ,Brno                                    ,49.1514,16.6939
BRR,Barra,57.017,-7.433
BRS,Bristol,51.3827,-2.7191
BRT,BATHURST ISLAND,-11.7664,130.6167
BRU,Brussels Airport,50.9014,4.4844
BRV,BREMERHAVEN,53.5071,8.5729
BRW,Barrow Wiley Post/Will Rogers Memorial  ,71.2854,-156.766
BRX,BARAHONA/MARIA MONTEZ,18.2517,-71.1219
BSA,Bosaso,11.2753,49.1494
BSB,Brasilia,-15.8692,-47.9208
BSC,Bahia Solano                            ,6.2031,-77.3947
BSD,Baoshan                                 ,25.15,99.15
BSG,Bata,1.9022,9.8028
BSJ,BAIRNSDALE,-37.8883,147.5683
BSK,Biskra                                  ,34.7933,5.7382
BSL,Basel,47.59,7.5292
BSO,Basco,20.4522,121.9772
BSR,Basrah                                  ,30.5491,47.6621
BSS,BALSAS,-7.525,-46.0528
BST,  Lashkar Gah,31.559,64.3641
BSX,  Bassein,16.8152,94.7799
BSZ,Bartletts,58.2336,-157.3503
BTC,BATTICALOA,7.7033,81.6783
BTH,Batam,1.1189,104.1142
BTI,Barter Island,70.134,-143.5819
BTJ,Banda Aceh,5.5169,95.42
BTK,Bratsk,56.37,101.6983
BTL,BATTLE CREEK W K KELLOGG,42.3075,-85.2517
BTM,Butte,45.9548,-112.4975
BTR,Baton Rouge Metropolitan Apt,30.5331,-91.1496
BTS,Bratislava,48.17,17.2128
BTT,Bettles                                 ,66.9139,-151.529
BTU,Bintulu,3.1241,113.0197
BTV,Burlington,44.4718,-73.1532
BTZ,BURSA/YENISEHIR,40.2489,29.5494
BUA,Buka,-5.4223,154.6727
BUC,Burketown,-17.7483,139.535
BUD,Budapest                                ,47.4393,19.2618
BUF,Buffalo                                 ,42.9405,-78.7322
BUG,BENGUELA,-12.6099,13.4037
