code|code_type|name|latitude|longitude
BID|iata|Block Island|41.1681|-71.5778
BIE|iata|BEATRICE|40.3017|-96.7533
BIF|iata|BIGGS AAF|31.8495|-106.38
BIG|iata|DELTA JUNCTION/FT GREELY ALLEN|63.9945|-145.7216
BIH|iata|BISHOP E. SIERRA REGNL|37.3731|-118.3636
BII|iata|Bikini Atoll|11.5225|165.565
BIK|iata|Biak|-1.1919|136.11
BIL|iata|Billings|45.8077|-108.5429
BIM|iata|Bimini International Apt|25.6999|-79.2647
BIO|iata|Bilbao|43.3011|-2.9106
BIQ|iata|Biarritz|43.4683|-1.5311
BIR|iata|Biratnagar|26.484|87.2643
BIS|iata|Bismarck|46.774|-100.7467
BIV|iata|BRIA|6.5267|21.99
BIX|iata|KEESLER AFB/BILOXI|30.4113|-88.9236
BIY|iata|BHISHO|-32.895|27.285
BJA|iata|Bejaia|36.7119|5.0694
BJB|iata|Bojnurd|37.4892|57.3064
BJC|iata|DENVER JEFFCO|39.9083|-105.1167
BJF|iata|Batsfjord|70.6003|29.6925
BJI|iata|Bemidji|47.5094|-94.9337
BJL|iata|Banjul|13.3425|-16.6578
BJM|iata|Bujumbura|-3.3178|29.3172
BJR|iata|Bahar Dar|11.6063|37.3197
BJT|iata|Bentota River|6.4833|79.9833
BJV|iata|Bodrum Milas Airport|37.2472|27.6814
BJX|iata|Leon/Guanajuato|20.9933|-101.481
BJY|iata|BEOGRAD/BATAJNICA|44.9236|20.279
BJZ|iata|Badajoz|38.8912|-6.8213
BKA|iata|Moscow Bykovo Apt|55.6172|38.06
BKC|iata|Buckland|65.9816|-161.1491
BKE|iata|BAKER CITY MUNI|44.8373|-117.8091
BKF|iata|AURORA/BUCKLEY AFB|39.7017|-104.7517
BKG|iata|Branson|36.5321|-93.2005
BKI|iata|Kota Kinabalu|5.9447|116.0531
BKK|iata|Bangkok Suvarnabhumi International Apt|13.6811|100.7473
BKL|iata|CLEVELAND BURKE|41.525|-81.6833
BKM|iata|Bakalalan|3.974|115.618
BKO|iata|Bamako|12.5379|-7.9433
BKQ|iata|Blackall|-24.4267|145.4233
BKS|iata|Bengkulu|-3.8611|102.3394
BKW|iata|Beckley|37.7867|-81.1244
BKY|iata|Bukavu|-2.309|28.8088
BKZ|iata|Bukoba|-1.3|31.8
BLA|iata|Barcelona|10.1167|-64.6833
BLB|iata|BALBOA/HOWARD AFB|8.9148|-79.5996
BLD|iata|Las Vegas Boulder City Airport|35.9475|-114.8611
BLE|iata|Borlange/Falun|60.4222|15.515
BLF|iata|BLUEFIELD|37.2958|-81.2077
BLH|iata|BLYTHE|33.6192|-114.7168
BLI|iata|Bellingham|48.7927|-122.5375
BLJ|iata|Batna|35.7592|6.3225
BLK|iata|Blackpool|53.7716|-3.0286
BLL|iata|Billund|55.7403|9.1518
BLQ|iata|Bologna|44.5306|11.2969
BLR|iata|Bengaluru|12.9522|77.6646
BLT|iata|BLACKWATER|-23.6|148.8167
BLV|iata|Belleville|38.5452|-89.8352
BLZ|iata|Blantyre|-15.6798|34.9676
BMA|iata|Stockholm Bromma Apt|59.3544|17.9422
BMC|iata|BRIGHAM CITY|41.5524|-112.0622
BMD|iata|Belo Tsiribihina|-19.6867|44.5419
BME|iata|Broome|-17.95|122.2317
BMI|iata|Bloomington-Normal|40.4767|-88.9167
BMK|iata|Borkum|53.5955|6.7092
BMO|iata|Bhamo|24.269|97.2462
BMU|iata|Bima|-8.5408|118.6906
BMV|iata|Ban Me Thuot|12.6661|108.1145
BMW|iata|Bordj Mokhtar|21.375|0.9239
BMY|iata|Belep Island|-19.7206|163.6611
BNA|iata|Nashville|36.1245|-86.6782
BNC|iata|Beni|0.575|29.4739
BND|iata|Bandar Abbas|27.2186|56.3778
BNE|iata|Brisbane|-27.3858|153.1183
BNI|iata|Benin City|6.2331|5.5992
BNJ|iata|Bonn Stn. (DE)|50.7319|7.0967
BNK|iata|Ballina|-28.8333|153.5617
BNN|iata|Bronnoysund|65.4611|12.2175
BNO|iata|BURNS|43.5919|-118.9554
BNP|iata|BANNU|32.9667|70.5333
BNS|iata|Barinas|8.6167|-70.2167
BNX|iata|Banja Luka|44.9417|17.3033
BNY|iata|Bellona|-11.3022|159.7981
BOA|iata|Boma|-5.854|13.064
BOB|iata|Bora Bora|-16.4436|-151.7525
BOC|iata|Bocas Del Toro|9.3408|-82.2508
BOD|iata|Bordeaux Merignac Apt|44.8286|-0.7153
BOG|iata|Bogota|4.7031|-74.1383
BOH|iata|Bournemouth|50.78|-1.8425
BOI|iata|Boise|43.5644|-116.2228
BOJ|iata|Burgas|42.5703|27.5153
BOM|iata|Mumbai|19.0908|72.8667
BON|iata|Bonaire|12.1311|-68.2769
BOO|iata|Bodo|67.2692|14.3653
BOP|iata|BOUAR|5.9667|15.6333
BOS|iata|Boston Logan International Apt|42.3643|-71.0052
BOT|iata|Boset|-7.233|141.083
BOU|iata|BOURGES|47.0644|2.3789
BOX|iata|BORROLOOLA|-16.0753|136.3022
BOY|iata|Bobo Dioulasso|11.1675|-4.3211
BPE|iata|BAGAN|21.1812|94.9287
BPF|iata|Batuna|-8.583|158.117
BPG|iata|BARRO DO GARCAS|-15.8603|-52.3889
BPH|iata|BISLIG|8.1885|126.327
BPI|iata|BIG PINEY|42.5851|-110.1112
BPL|iata|Bole|44.9038|82.0708
BPM|iata|Hyderabad Begumpet Airport|34.9463|69.265
BPN|iata|Balikpapan|-1.2672|116.8939
BPS|iata|Porto Seguro|-16.4381|-39.0733
BPT|iata|Beaumont Jefferson County Apt|29.9508|-94.0207
BPX|iata|Qamdo/Changdu|30.5536|97.1083
BPY|iata|Besalampy|-16.7419|44.4814
BQA|iata|BALER|15.7331|121.5022
BQB|iata|Busselton|-33.6867|115.4
BQH|iata|BIGGIN HILL|51.3308|0.0325
BQK|iata|Brunswick Glynco Jetport|31.2588|-81.4665
BQL|iata|Boulia|-22.9133|139.9
BQN|iata|Aguadilla|18.4948|-67.1295
BQQ|iata|BARRA BONITA/FAZ SANTA LUIZA|-22.4831|-48.5239
BQS|iata|Blagoveschensk|50.425|127.4117
